Region,Service,Monthly,First 12 months total,Configuration details
,,,,
US East (N. Virginia),Amazon Virtual Private Cloud (VPC),263.25 USD,3159 USD,1 NAT Gateways (5TB Data Processed per NAT Gateway)
US East (N. Virginia),Amazon RDS for MySQL,"3,959.08 USD",47508.96 USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (5 TB per month), Instance type (db.t3.2xlarge), Additional backup storage (5 TB)"
US East (N. Virginia),Amazon EC2,"1,490.80 USD",17889.6 USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1 TB), Instance type (t2.xlarge)"
US East (N. Virginia),Amazon Virtual Private Cloud (VPC),"1,126.31 USD",13515.72 USD,Data Transfer (10TB per month)
US East (N. Virginia),Amazon Simple Storage Service (S3) / S3 Standard,"1,170.85 USD",14050.2 USD,S3 Standard storage (10 TB per month) / Inbound Data Transfer (10 TB per month) / Outbound Data Transfer (10TB per month)
US East (N. Virginia),AWS Data Transfer,"1,023.91 USD",12286.92 USD,Inbound 10TB per month / Intra-Region 5TB per month / Outbound 10TB per mont - Data Transfer. 
US East (N. Virginia),Elastic Load Balancing,32.85 USD,294.2 USD,Number of Application Load Balancers (2)
,,9067.05,,
