Region,Service,Monthly,First 12 months total,Configuration details
,,,,
US East (N. Virginia),Amazon Virtual Private Cloud (VPC),263.25 USD,3159 USD,1 NAT Gateways (5TB Data Processed per NAT Gateway)
US East (N. Virginia),Amazon RDS for MySQL,"1,276.36 USD",15316.32 USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Instance type (db.t3.medium), Additional backup storage (2 TB)"
US East (N. Virginia),Amazon EC2,735.80 USD,8829.6 USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (t2.large)"
US East (N. Virginia),Amazon Virtual Private Cloud (VPC),"1,126.31 USD",13515.72 USD,Data Transfer (10TB per month)
US East (N. Virginia),Amazon Simple Storage Service (S3) / S3 Standard,"1,170.85 USD",14050.2 USD,S3 Standard storage (10 TB per month) / Inbound Data Transfer (10 TB per month) / Outbound Data Transfer (10TB per month)
US East (N. Virginia),AWS Data Transfer,"1,023.91 USD",12286.92 USD,Inbound 10TB per month / Intra-Region 5TB per month / Outbound 10TB per mont - Data Transfer. 
US East (N. Virginia),Elastic Load Balancing,32.85 USD,294.2 USD,Number of Application Load Balancers (2)
,,5629.33,,
